N,Bubble,Quick,Insert
188,0.163000,0.032000,0.035000
189,0.150000,0.017000,0.035000
190,0.148000,0.016000,0.035000
191,0.151000,0.016000,0.059000
192,0.155000,0.015000,0.037000
193,0.156000,0.016000,0.036000
194,0.165000,0.017000,0.036000
195,0.159000,0.016000,0.035000
196,0.165000,0.017000,0.042000
197,0.155000,0.019000,0.043000
198,0.163000,0.018000,0.044000
199,0.158000,0.019000,0.044000
200,0.162000,0.019000,0.043000
201,0.157000,0.018000,0.044000
202,0.167000,0.019000,0.044000
203,0.165000,0.020000,0.044000
204,0.189000,0.020000,0.044000
205,0.170000,0.017000,0.039000
206,0.176000,0.017000,0.043000
207,0.204000,0.016000,0.040000
208,0.176000,0.017000,0.041000
209,0.177000,0.018000,0.039000
210,0.165000,0.018000,0.041000
211,0.178000,0.017000,0.046000
212,0.169000,0.018000,0.042000
213,0.180000,0.018000,0.042000
214,0.172000,0.019000,0.042000
215,0.185000,0.018000,0.046000
216,0.177000,0.018000,0.040000
217,0.178000,0.017000,0.044000
218,0.181000,0.018000,0.044000
219,0.221000,0.021000,0.054000
220,0.198000,0.021000,0.052000
221,0.259000,0.025000,0.080000
222,0.247000,0.026000,0.084000
223,0.253000,0.025000,0.084000
224,0.259000,0.026000,0.089000
225,0.265000,0.027000,0.095000
226,0.268000,0.026000,0.085000
227,0.247000,0.028000,0.091000
228,0.280000,0.026000,0.084000
229,0.219000,0.022000,0.055000
230,0.200000,0.033000,0.061000
231,0.259000,0.024000,0.074000
232,0.286000,0.028000,0.090000
233,0.274000,0.027000,0.081000
234,0.270000,0.024000,0.057000
235,0.217000,0.023000,0.063000
236,0.220000,0.026000,0.063000
237,0.232000,0.025000,0.061000
238,0.250000,0.022000,0.063000
239,0.218000,0.023000,0.061000
240,0.216000,0.019000,0.059000
241,0.238000,0.023000,0.078000
242,0.218000,0.021000,0.066000
243,0.248000,0.021000,0.052000
244,0.214000,0.022000,0.058000
245,0.225000,0.020000,0.056000
246,0.216000,0.021000,0.065000
247,0.258000,0.021000,0.053000
248,0.234000,0.024000,0.066000
249,0.244000,0.022000,0.060000
250,0.223000,0.021000,0.061000
251,0.223000,0.022000,0.059000
252,0.225000,0.022000,0.060000
253,0.266000,0.022000,0.057000
254,0.229000,0.022000,0.057000
255,0.249000,0.022000,0.064000
256,0.243000,0.021000,0.068000
257,0.240000,0.022000,0.065000
258,0.238000,0.021000,0.065000
259,0.237000,0.022000,0.062000
260,0.246000,0.022000,0.065000
261,0.237000,0.022000,0.064000
262,0.237000,0.023000,0.065000
263,0.239000,0.022000,0.066000
264,0.248000,0.023000,0.082000
265,0.249000,0.023000,0.071000
266,0.252000,0.023000,0.065000
267,0.254000,0.023000,0.065000
268,0.345000,0.025000,0.078000
269,0.272000,0.025000,0.076000
270,0.276000,0.027000,0.073000
271,0.291000,0.023000,0.064000
272,0.260000,0.023000,0.071000
273,0.263000,0.025000,0.070000
274,0.272000,0.027000,0.073000
275,0.304000,0.025000,0.072000
276,0.277000,0.027000,0.074000
277,0.272000,0.025000,0.073000
278,0.271000,0.024000,0.071000
279,0.274000,0.024000,0.071000
280,0.383000,0.028000,0.081000
281,0.295000,0.030000,0.084000
282,0.307000,0.029000,0.088000
283,0.292000,0.027000,0.084000
284,0.306000,0.030000,0.096000
285,0.302000,0.028000,0.086000
286,0.302000,0.027000,0.081000
287,0.300000,0.030000,0.088000
288,0.308000,0.028000,0.092000
289,0.310000,0.028000,0.085000
290,0.310000,0.028000,0.100000
